pair_index,N,I_ext,g_syn,p,realizations,mean_firing_rate,std_firing_rate
3,250,0.45,0.6,0.9,100,0.6130194170854271,0.028538975125296115
3,250,0.45,0.6,0.9500000000000001,100,0.6345873165829145,0.03293668868155101
3,250,0.45,0.6,1.0,100,0.6577866130653268,0.03325081893761841
4,250,0.25,0.8,0.0,100,0.48467336683417095,1.1158161231197418e-16
4,250,0.25,0.8,0.05,100,0.49293561809045217,0.0021959360597723783
4,250,0.25,0.8,0.1,100,0.49580291457286435,0.0011592579879988799
4,250,0.25,0.8,0.15000000000000002,100,0.49717358793969846,0.0013527848018698508
4,250,0.25,0.8,0.2,100,0.4984540502512562,0.0020012760711344327
4,250,0.25,0.8,0.25,100,0.5001982311557789,0.0027846741024594797
4,250,0.25,0.8,0.30000000000000004,100,0.501743135678392,0.003518772356535729
4,250,0.25,0.8,0.35000000000000003,100,0.503687135678392,0.004337676120589839
4,250,0.25,0.8,0.4,100,0.5074495477386934,0.005086953125875748
4,250,0.25,0.8,0.45,100,0.5102338291457287,0.0068861783325968205
4,250,0.25,0.8,0.5,100,0.5143533266331659,0.008202153276914068
4,250,0.25,0.8,0.55,100,0.5216067336683418,0.010105294844493264
4,250,0.25,0.8,0.6000000000000001,100,0.5263819296482412,0.011780122545424905
4,250,0.25,0.8,0.65,100,0.5375542914572865,0.015147514920800883
4,250,0.25,0.8,0.7000000000000001,100,0.5466008442211054,0.015743873988607562
4,250,0.25,0.8,0.75,100,0.5605123618090453,0.021242662326775873
4,250,0.25,0.8,0.8,100,0.5733403015075378,0.02225228994224224
4,250,0.25,0.8,0.8500000000000001,100,0.5880933266331658,0.026422057390888997
4,250,0.25,0.8,0.9,100,0.609003135678392,0.02814274577174643
4,250,0.25,0.8,0.9500000000000001,100,0.6315096080402011,0.03514456182818469
4,250,0.25,0.8,1.0,100,0.658449025125628,0.036270939828648374
