N,p,realization,seed,number_of_shortcuts,total_spikes,mean_firing_rate,runtime_seconds
1000,0.7000000000000001,4,7000004,700,1015,0.0005100502512562814,7.2567176999291405
1000,0.7000000000000001,5,7000005,700,1019,0.0005120603015075377,7.878722700057551
1000,0.7000000000000001,6,7000006,700,1014,0.0005095477386934673,9.087835000013001
1000,0.7000000000000001,7,7000007,700,1014,0.0005095477386934673,7.337327299988829
1000,0.7000000000000001,8,7000008,700,1019,0.0005120603015075377,7.316231900011189
1000,0.7000000000000001,9,7000009,700,1016,0.0005105527638190955,5.5179968000156805
1000,0.75,0,7500000,750,1016,0.0005105527638190955,9.024412500089966
1000,0.75,1,7500001,750,1019,0.0005120603015075377,8.647939599934034
1000,0.75,2,7500002,750,1019,0.0005120603015075377,5.4681680999929085
1000,0.75,3,7500003,750,1022,0.0005135678391959799,8.549531699973159
1000,0.75,4,7500004,750,1029,0.0005170854271356784,5.743578199995682
1000,0.75,5,7500005,750,1045,0.0005251256281407035,5.8523736000061035
1000,0.75,6,7500006,750,1021,0.0005130653266331659,6.300662499968894
1000,0.75,7,7500007,750,1022,0.0005135678391959799,6.2549537000013515
1000,0.75,8,7500008,750,1033,0.0005190954773869347,5.975406400044449
1000,0.75,9,7500009,750,1017,0.0005110552763819095,5.960400899988599
1000,0.8,0,8000000,800,1020,0.0005125628140703518,6.197889699949883
1000,0.8,1,8000001,800,1026,0.0005155778894472362,6.003541500074789
1000,0.8,2,8000002,800,1030,0.0005175879396984924,7.53977659996599
1000,0.8,3,8000003,800,1032,0.0005185929648241206,8.472070000017993
1000,0.8,4,8000004,800,1016,0.0005105527638190955,8.582280400092714
1000,0.8,5,8000005,800,1034,0.0005195979899497487,6.419641200103797
1000,0.8,6,8000006,800,1023,0.000514070351758794,6.646946500055492
1000,0.8,7,8000007,800,1028,0.0005165829145728643,6.794673399999738
1000,0.8,8,8000008,800,1029,0.0005170854271356784,6.727876099990681
1000,0.8,9,8000009,800,1016,0.0005105527638190955,6.32527959998697
1000,0.8500000000000001,0,8500000,850,1028,0.0005165829145728643,7.845538299996406
1000,0.8500000000000001,1,8500001,850,1043,0.0005241206030150754,7.725068200030364
1000,0.8500000000000001,2,8500002,850,1012,0.0005085427135678392,6.333411899977364
1000,0.8500000000000001,3,8500003,850,1024,0.000514572864321608,5.905821199994534
1000,0.8500000000000001,4,8500004,850,1046,0.0005256281407035176,5.877128100022674
1000,0.8500000000000001,5,8500005,850,1051,0.0005281407035175879,5.964731200016104
1000,0.8500000000000001,6,8500006,850,1036,0.0005206030150753768,6.594717999920249
1000,0.8500000000000001,7,8500007,850,1048,0.0005266331658291458,7.2338919000467286
1000,0.8500000000000001,8,8500008,850,1038,0.0005216080402010051,7.790253999992274
1000,0.8500000000000001,9,8500009,850,1036,0.0005206030150753768,6.15043510007672
1000,0.9,0,9000000,900,1035,0.0005201005025125628,7.006108099943958
1000,0.9,1,9000001,900,1032,0.0005185929648241206,8.587289600051008
1000,0.9,2,9000002,900,1039,0.0005221105527638191,7.0013656000373885
1000,0.9,3,9000003,900,1031,0.0005180904522613066,7.831506400019862
1000,0.9,4,9000004,900,1026,0.0005155778894472362,7.787699399981648
1000,0.9,5,9000005,900,1045,0.0005251256281407035,6.382345699938014
1000,0.9,6,9000006,900,1028,0.0005165829145728643,6.307210300001316
1000,0.9,7,9000007,900,1042,0.0005236180904522613,6.303090799949132
1000,0.9,8,9000008,900,1038,0.0005216080402010051,6.3930240999907255
1000,0.9,9,9000009,900,1051,0.0005281407035175879,6.1084082999732345
1000,0.9500000000000001,0,9500000,950,1037,0.000521105527638191,6.275834199972451
1000,0.9500000000000001,1,9500001,950,1025,0.0005150753768844221,7.226414499920793
1000,0.9500000000000001,2,9500002,950,1048,0.0005266331658291458,6.065142499981448
1000,0.9500000000000001,3,9500003,950,1056,0.0005306532663316583,6.139648500015028
1000,0.9500000000000001,4,9500004,950,1061,0.0005331658291457287,6.583524700021371
1000,0.9500000000000001,5,9500005,950,1031,0.0005180904522613066,6.120466100051999
1000,0.9500000000000001,6,9500006,950,1045,0.0005251256281407035,6.123401600052603
1000,0.9500000000000001,7,9500007,950,1024,0.000514572864321608,6.196199199999683
1000,0.9500000000000001,8,9500008,950,1029,0.0005170854271356784,5.832425200031139
1000,0.9500000000000001,9,9500009,950,1054,0.0005296482412060302,6.249447799986228
1000,1.0,0,10000000,1000,1025,0.0005150753768844221,5.910132099990733
1000,1.0,1,10000001,1000,1020,0.0005125628140703518,6.035134699894115
1000,1.0,2,10000002,1000,1052,0.000528643216080402,5.298244400066324
1000,1.0,3,10000003,1000,1049,0.0005271356783919598,5.471917400020175
1000,1.0,4,10000004,1000,1034,0.0005195979899497487,5.106164800003171
1000,1.0,5,10000005,1000,1054,0.0005296482412060302,4.768473000032827
1000,1.0,6,10000006,1000,1035,0.0005201005025125628,4.490756499930285
1000,1.0,7,10000007,1000,1058,0.0005316582914572864,4.474279799964279
1000,1.0,8,10000008,1000,1033,0.0005190954773869347,4.487487000063993
1000,1.0,9,10000009,1000,1027,0.0005160804020100503,4.143301399890333
