N,p,seed,number_of_shortcuts,status,total_spikes,last_spike_time,late_spikes,runtime_seconds
1000,0.075,10,75,SUCCESS,108981,3000.0,7444,8.01377219997812
1000,0.075,2,75,SUCCESS,111724,3000.0,7591,8.157064900035039
1000,0.075,7,75,SUCCESS,107086,3000.0,7303,8.133402100065723
1000,0.075,8,75,SUCCESS,100853,3000.0,6834,8.17593099991791
1000,0.075,12,75,SUCCESS,113238,3000.0,7729,8.12145600002259
1000,0.075,13,75,SUCCESS,99235,3000.0,6635,8.246879799989983
1000,0.075,18,75,SUCCESS,102101,3000.0,6918,8.11940210009925
1000,0.075,11,75,SUCCESS,117268,3000.0,8045,8.282654899987392
1000,0.075,14,75,SUCCESS,92422,3000.0,6326,8.271220199996606
1000,0.075,16,75,SUCCESS,91462,3000.0,6221,8.211023100069724
1000,0.075,15,75,SUCCESS,78043,3000.0,5164,8.270057199988514
1000,0.075,17,75,SUCCESS,98973,3000.0,6793,8.231578800012358
1000,0.075,20,75,SUCCESS,116795,3000.0,7972,8.313317599939182
1000,0.075,19,75,SUCCESS,102088,3000.0,6922,8.325244500068948
1000,0.075,21,75,SUCCESS,98182,3000.0,6666,8.26875100005418
1000,0.075,27,75,FAILURE,1001,82.0,0,7.7520737000741065
1000,0.075,22,75,SUCCESS,79994,3000.0,5490,7.980440900078975
1000,0.075,23,75,SUCCESS,85115,3000.0,5735,8.169703199993819
1000,0.075,25,75,SUCCESS,92912,3000.0,6302,8.19254890002776
1000,0.075,29,75,SUCCESS,106147,3000.0,7142,8.122987800044939
1000,0.075,26,75,SUCCESS,109341,3000.0,7353,8.211408099974506
1000,0.075,28,75,SUCCESS,106078,3000.0,7189,8.231597500038333
1000,0.075,24,75,SUCCESS,102015,3000.0,6934,8.371397999930196
1000,0.075,30,75,SUCCESS,80458,3000.0,5468,8.127935700002126
1000,0.075,32,75,SUCCESS,87854,3000.0,5967,8.226638299995102
1000,0.075,31,75,SUCCESS,103746,3000.0,6931,8.239937099977396
1000,0.075,34,75,SUCCESS,115583,3000.0,8041,8.277488399995491
1000,0.075,33,75,SUCCESS,98855,3000.0,6726,8.38262519997079
1000,0.075,35,75,SUCCESS,88530,3000.0,6000,8.254458700073883
1000,0.075,37,75,SUCCESS,105211,3000.0,7233,8.279766299994662
1000,0.075,38,75,SUCCESS,103799,3000.0,7053,8.255613300018013
1000,0.075,39,75,SUCCESS,98786,3000.0,6741,8.272248800029047
1000,0.075,40,75,SUCCESS,118072,3000.0,8045,8.258547800011002
1000,0.075,41,75,SUCCESS,99244,3000.0,6654,8.24892100004945
1000,0.075,36,75,SUCCESS,102292,3000.0,6924,8.467323700082488
1000,0.075,43,75,SUCCESS,109347,3000.0,7518,8.273664999986067
1000,0.075,42,75,SUCCESS,107613,3000.0,7307,8.281589100020938
1000,0.075,44,75,SUCCESS,95246,3000.0,6376,8.430905199958943
1000,0.075,49,75,SUCCESS,102390,3000.0,6932,8.112441299948841
1000,0.075,47,75,SUCCESS,100099,3000.0,6743,8.242314400034957
1000,0.075,45,75,SUCCESS,106272,3000.0,7199,8.671174800023437
1000,0.075,46,75,SUCCESS,86748,3000.0,5822,8.593504999997094
1000,0.075,51,75,SUCCESS,116536,3000.0,8014,8.372926299925894
1000,0.075,48,75,SUCCESS,96849,3000.0,6573,8.623587099951692
1000,0.075,50,75,SUCCESS,100651,3000.0,6163,8.679468699963763
1000,0.075,53,75,SUCCESS,100550,3000.0,6758,8.578210799954832
1000,0.075,54,75,SUCCESS,90032,3000.0,6076,8.620627800002694
1000,0.075,52,75,SUCCESS,92829,3000.0,6331,8.751832199981436
1000,0.075,56,75,SUCCESS,98416,3000.0,6639,8.663199600065127
1000,0.075,55,75,SUCCESS,102157,3000.0,6944,8.851703400025144
1000,0.075,57,75,SUCCESS,112448,3000.0,7768,8.65689499990549
1000,0.075,58,75,SUCCESS,113377,3000.0,7727,8.952787299989723
1000,0.075,65,75,SUCCESS,88565,3000.0,5959,8.432221199967898
1000,0.075,61,75,SUCCESS,95248,3000.0,6537,8.716953700059094
1000,0.075,59,75,SUCCESS,113938,3000.0,7762,8.90882979996968
1000,0.075,62,75,SUCCESS,95801,3000.0,6637,8.78466510004364
1000,0.075,64,75,SUCCESS,91508,3000.0,6233,8.686502399970777
1000,0.075,60,75,SUCCESS,111559,3000.0,7489,9.299194400082342
1000,0.075,63,75,SUCCESS,105510,3000.0,7217,9.145017000031658
1000,0.075,66,75,SUCCESS,73083,3000.0,4914,8.702153699938208
1000,0.075,68,75,SUCCESS,111928,3000.0,7668,8.951853599981405
1000,0.075,69,75,SUCCESS,115009,3000.0,8045,8.555046700057574
1000,0.075,67,75,SUCCESS,109780,3000.0,7472,9.141040500020608
1000,0.075,70,75,SUCCESS,108064,3000.0,7288,8.725694500026293
1000,0.075,71,75,SUCCESS,110661,3000.0,7600,8.810667999903671
1000,0.075,72,75,SUCCESS,89047,3000.0,6083,9.046723900013603
1000,0.075,73,75,SUCCESS,87117,3000.0,5941,9.119589899899438
1000,0.075,75,75,SUCCESS,102363,3000.0,6941,9.112292200094089
1000,0.075,76,75,SUCCESS,86108,3000.0,5751,8.986042900010943
1000,0.075,74,75,SUCCESS,98862,3000.0,6747,9.660019499948248
1000,0.075,77,75,SUCCESS,85212,3000.0,5659,8.621514300000854
1000,0.075,78,75,SUCCESS,97678,3000.0,6667,8.580686200060882
1000,0.075,79,75,SUCCESS,109317,3000.0,7418,8.612379399943165
1000,0.075,80,75,SUCCESS,99329,3000.0,6661,8.602262099971995
1000,0.075,82,75,SUCCESS,85271,3000.0,5683,8.510483900085092
1000,0.075,81,75,SUCCESS,117337,3000.0,8037,8.646934199961834
1000,0.075,83,75,SUCCESS,112030,3000.0,7733,8.672018999932334
1000,0.075,84,75,SUCCESS,106149,3000.0,7148,8.530552000040188
1000,0.075,85,75,SUCCESS,94261,3000.0,6395,8.554001800017431
1000,0.075,86,75,SUCCESS,104650,3000.0,6937,8.614767600083724
1000,0.075,87,75,SUCCESS,102003,3000.0,6923,8.491152600036003
1000,0.075,88,75,SUCCESS,106198,3000.0,7183,8.744678599992767
1000,0.075,89,75,SUCCESS,91896,3000.0,6296,8.596545699983835
1000,0.075,91,75,SUCCESS,101323,3000.0,6948,8.51277749997098
1000,0.075,90,75,SUCCESS,113719,3000.0,7693,8.735472899978049
1000,0.075,92,75,SUCCESS,114233,3000.0,7730,8.639876999892294
1000,0.075,93,75,SUCCESS,97499,3000.0,6643,8.637471299967729
1000,0.075,94,75,SUCCESS,114233,3000.0,7682,8.568671399960294
1000,0.075,95,75,SUCCESS,82729,3000.0,5702,8.477743900031783
1000,0.075,96,75,SUCCESS,95444,3000.0,6391,8.339778999914415
1000,0.075,97,75,SUCCESS,100841,3000.0,7003,8.300396399921738
1000,0.075,98,75,SUCCESS,99310,3000.0,6630,8.297780699911527
1000,0.075,99,75,SUCCESS,109885,3000.0,7457,3.6570946000283584
1000,0.1,7,100,SUCCESS,89026,3000.0,6003,8.00634110008832
1000,0.1,5,100,SUCCESS,115808,3000.0,7962,8.019672600086778
1000,0.1,2,100,SUCCESS,109555,3000.0,7357,8.095843699993566
1000,0.1,0,100,SUCCESS,117498,3000.0,8022,8.130319899995811
1000,0.1,8,100,SUCCESS,106351,3000.0,7159,8.132641099975444
1000,0.1,6,100,SUCCESS,102107,3000.0,6948,8.168978999950923
1000,0.1,10,100,SUCCESS,101978,3000.0,6950,8.15536040009465
1000,0.1,1,100,SUCCESS,118503,3000.0,8032,8.213877199916169
1000,0.1,3,100,SUCCESS,102752,3000.0,6937,8.302407299983315
1000,0.1,9,100,SUCCESS,97686,3000.0,6560,8.274679400026798
1000,0.1,4,100,SUCCESS,98999,3000.0,6739,8.329229600029066
1000,0.1,21,100,FAILURE,1000,53.0,0,7.808844500104897
1000,0.1,12,100,SUCCESS,110132,3000.0,7412,8.132905400008895
1000,0.1,11,100,SUCCESS,107655,3000.0,7468,8.247976399958134
1000,0.1,13,100,SUCCESS,91803,3000.0,6250,8.306654299958609
1000,0.1,18,100,SUCCESS,102677,3000.0,6917,8.209766599931754
1000,0.1,20,100,SUCCESS,115535,3000.0,7917,8.142211300088093
1000,0.1,17,100,SUCCESS,90303,3000.0,6130,8.276525699999183
1000,0.1,14,100,SUCCESS,98228,3000.0,6535,8.378832699963823
1000,0.1,15,100,SUCCESS,85120,3000.0,5871,8.334901800029911
1000,0.1,19,100,SUCCESS,82953,3000.0,5697,8.255535800009966
1000,0.1,16,100,SUCCESS,116297,3000.0,8043,8.480457100085914
1000,0.1,23,100,SUCCESS,85139,3000.0,5659,8.281493799993768
1000,0.1,24,100,SUCCESS,85089,3000.0,5799,8.190843399963342
1000,0.1,22,100,FAILURE,1000,48.0,0,8.60761960002128
1000,0.1,28,100,SUCCESS,106141,3000.0,7127,8.388953099958599
1000,0.1,27,100,SUCCESS,77220,3000.0,5107,8.649535299977288
1000,0.1,31,100,SUCCESS,102220,3000.0,6921,8.63981339999009
1000,0.1,32,100,SUCCESS,103918,3000.0,7087,8.6260921000503
1000,0.1,25,100,SUCCESS,100958,3000.0,6882,8.885648200055584
1000,0.1,29,100,SUCCESS,106216,3000.0,7136,8.96379359997809
1000,0.1,26,100,SUCCESS,97285,3000.0,6498,9.15076330001466
1000,0.1,30,100,SUCCESS,105462,3000.0,7224,9.265965599915944
1000,0.1,33,100,SUCCESS,109711,3000.0,7495,8.434419800061733
1000,0.1,34,100,SUCCESS,74267,3000.0,5014,8.438573600025848
1000,0.1,36,100,SUCCESS,99281,3000.0,6556,8.352634800015949
1000,0.1,35,100,SUCCESS,101891,3000.0,6930,8.688020900008269
1000,0.1,38,100,SUCCESS,103633,3000.0,6979,8.40942919999361
1000,0.1,37,100,SUCCESS,109684,3000.0,7537,8.59691159997601
1000,0.1,39,100,SUCCESS,110167,3000.0,7369,8.42456640000455
1000,0.1,40,100,SUCCESS,118447,3000.0,8049,8.487386699998751
1000,0.1,41,100,SUCCESS,93796,3000.0,6439,8.467040599905886
1000,0.1,42,100,SUCCESS,108983,3000.0,7408,8.523680500104092
1000,0.1,43,100,SUCCESS,97003,3000.0,6488,8.460563400061801
1000,0.1,44,100,SUCCESS,105906,3000.0,7149,8.471302999998443
1000,0.1,45,100,SUCCESS,110130,3000.0,7262,8.691061399993487
1000,0.1,48,100,SUCCESS,106530,3000.0,7233,8.424065300030634
1000,0.1,50,100,SUCCESS,118288,3000.0,8042,8.45172020001337
1000,0.1,52,100,SUCCESS,87641,3000.0,5864,8.241779999923892
1000,0.1,47,100,SUCCESS,109199,3000.0,7288,8.895195099990815
1000,0.1,46,100,SUCCESS,96074,3000.0,6566,9.27994719997514
1000,0.1,53,100,SUCCESS,110066,3000.0,7442,8.53773340000771
1000,0.1,49,100,SUCCESS,93183,3000.0,6302,9.009127600002103
1000,0.1,51,100,SUCCESS,117044,3000.0,8036,9.174993199994788
1000,0.1,54,100,SUCCESS,95960,3000.0,6546,9.44181409990415
1000,0.1,55,100,SUCCESS,109296,3000.0,7449,8.938307600095868
1000,0.1,56,100,SUCCESS,98837,3000.0,6725,8.860308500006795
1000,0.1,59,100,SUCCESS,114149,3000.0,7765,8.39509630005341
1000,0.1,57,100,SUCCESS,85260,3000.0,5559,8.84687909996137
1000,0.1,64,100,SUCCESS,96229,3000.0,6403,8.018785499967635
1000,0.1,58,100,SUCCESS,105563,3000.0,7201,8.899434800026938
1000,0.1,61,100,SUCCESS,95700,3000.0,6448,8.622313600033522
1000,0.1,60,100,SUCCESS,94235,3000.0,6249,9.056057399953716
1000,0.1,62,100,SUCCESS,116086,3000.0,7865,8.902422199957073
1000,0.1,63,100,SUCCESS,109600,3000.0,7528,8.960692299995571
1000,0.1,65,100,SUCCESS,87744,3000.0,5903,8.41786080005113
1000,0.1,68,100,SUCCESS,100427,3000.0,6792,8.326571500045247
1000,0.1,67,100,SUCCESS,88227,3000.0,5893,8.782863099942915
1000,0.1,66,100,SUCCESS,113767,3000.0,7764,8.988510400056839
1000,0.1,70,100,SUCCESS,98118,3000.0,6656,8.451869999989867
1000,0.1,72,100,SUCCESS,89712,3000.0,6137,8.407443100004457
1000,0.1,73,100,SUCCESS,102595,3000.0,6904,8.195435700006783
1000,0.1,69,100,SUCCESS,108221,3000.0,7312,8.894703399972059
1000,0.1,71,100,SUCCESS,74810,3000.0,5132,8.989156099967659
1000,0.1,74,100,SUCCESS,113586,3000.0,7759,8.574293700046837
1000,0.1,75,100,SUCCESS,102946,3000.0,6969,9.08841460000258
1000,0.1,76,100,SUCCESS,109883,3000.0,7524,9.007904199999757
1000,0.1,77,100,SUCCESS,112383,3000.0,7483,8.765344399958849
1000,0.1,79,100,SUCCESS,93053,3000.0,6225,8.631266799988225
1000,0.1,80,100,SUCCESS,117647,3000.0,8031,8.632133100065403
1000,0.1,83,100,FAILURE,1002,60.0,0,8.353594900108874
1000,0.1,78,100,SUCCESS,109047,3000.0,7458,8.955130499904044
1000,0.1,81,100,SUCCESS,95781,3000.0,6581,8.772033500019461
1000,0.1,82,100,SUCCESS,110048,3000.0,7472,8.990334400092252
1000,0.1,85,100,SUCCESS,117797,3000.0,8031,8.78616520005744
1000,0.1,84,100,SUCCESS,96051,3000.0,6493,8.854143699980341
1000,0.1,86,100,SUCCESS,97369,3000.0,6524,8.79708190006204
1000,0.1,87,100,SUCCESS,95992,3000.0,6537,8.765787499956787
