N,p,seed,number_of_shortcuts,status,total_spikes,last_spike_time,activity_duration,late_spikes,runtime_seconds
2000,0.05263157894736842,15,105,SUCCESS,202171,3000.0,2990.0,13877,3.7638208999997005
2000,0.05263157894736842,16,105,SUCCESS,175871,3000.0,2990.0,11909,3.844629400060512
2000,0.05263157894736842,17,105,SUCCESS,188760,3000.0,2990.0,12845,3.9681526999920607
2000,0.05263157894736842,18,105,SUCCESS,185392,3000.0,2990.0,12591,3.7936431999551132
2000,0.05263157894736842,19,105,SUCCESS,178450,3000.0,2990.0,12128,4.018224800005555
2000,0.05263157894736842,20,105,SUCCESS,227536,3000.0,2990.0,15471,3.7805084000574425
2000,0.05263157894736842,21,105,SUCCESS,201905,3000.0,2990.0,13868,3.836697499966249
2000,0.05263157894736842,22,105,SUCCESS,179505,3000.0,2990.0,12156,3.7376530999317765
2000,0.05263157894736842,23,105,SUCCESS,190720,3000.0,2990.0,12788,3.8285942999646068
2000,0.05263157894736842,24,105,SUCCESS,184073,3000.0,2990.0,12590,3.6870398999890313
2000,0.05263157894736842,25,105,SUCCESS,198992,3000.0,2990.0,13527,3.781904200091958
2000,0.05263157894736842,26,105,SUCCESS,225072,3000.0,2990.0,15476,3.897694700048305
2000,0.05263157894736842,27,105,SUCCESS,220940,3000.0,2990.0,15152,3.8960276000434533
2000,0.05263157894736842,28,105,SUCCESS,209618,3000.0,2990.0,14463,3.8024793000658974
2000,0.05263157894736842,29,105,SUCCESS,199728,3000.0,2990.0,13621,3.809574899962172
2000,0.05263157894736842,30,105,SUCCESS,184716,3000.0,2990.0,12608,3.7055167000507936
2000,0.05263157894736842,31,105,SUCCESS,219115,3000.0,2990.0,15183,3.8817621999187395
2000,0.05263157894736842,32,105,SUCCESS,225417,3000.0,2990.0,15754,3.7794282000977546
2000,0.05263157894736842,33,105,SUCCESS,190080,3000.0,2990.0,12976,3.930655099917203
2000,0.05263157894736842,34,105,SUCCESS,210073,3000.0,2990.0,14358,3.8278072000248358
2000,0.05263157894736842,35,105,SUCCESS,190795,3000.0,2990.0,12955,3.8028502000961453
2000,0.05263157894736842,36,105,SUCCESS,214310,3000.0,2990.0,14738,3.818160800030455
2000,0.05263157894736842,37,105,SUCCESS,212384,3000.0,2990.0,14700,3.8276464000809938
2000,0.05263157894736842,38,105,SUCCESS,201557,3000.0,2990.0,13846,3.7591958000557497
2000,0.05263157894736842,39,105,SUCCESS,179391,3000.0,2990.0,12221,3.756713100010529
2000,0.05263157894736842,40,105,SUCCESS,158280,3000.0,2990.0,10846,3.775904900045134
2000,0.05263157894736842,41,105,SUCCESS,226713,3000.0,2990.0,15497,3.8765020999126136
2000,0.05263157894736842,42,105,SUCCESS,198027,3000.0,2990.0,13368,3.8320135000394657
2000,0.05263157894736842,43,105,SUCCESS,191737,3000.0,2990.0,12965,3.747900899965316
2000,0.05263157894736842,44,105,SUCCESS,192186,3000.0,2990.0,13232,3.769956300035119
2000,0.05263157894736842,45,105,SUCCESS,159941,3000.0,2990.0,10793,4.168708999990486
2000,0.05263157894736842,46,105,SUCCESS,205073,3000.0,2990.0,13838,3.9538171999156475
2000,0.05263157894736842,47,105,SUCCESS,179334,3000.0,2990.0,12153,3.7883511999389157
2000,0.05263157894736842,48,105,SUCCESS,192586,3000.0,2990.0,12963,3.7844925000099465
