current_index,N,I_ext,g_syn,p,realization,seed,number_of_shortcuts,total_spikes,mean_firing_rate,runtime_seconds
3,250,1.25,0.4,0.8,1,3080001,200,249525,0.49880603015075375,5.2858463999582455
3,250,1.25,0.4,0.8,2,3080002,200,253391,0.5065346733668342,5.2316038000863045
3,250,1.25,0.4,1.0,0,3100000,250,261790,0.5233688442211055,5.293183899950236
3,250,1.25,0.4,1.0,1,3100001,250,258465,0.5166552763819096,5.043586599989794
3,250,1.25,0.4,1.0,2,3100002,250,251877,0.5034271356783919,5.316492300014943
4,250,1.5,0.4,0.0,0,4000000,0,249382,0.4987577889447236,5.143371699959971
4,250,1.5,0.4,0.0,1,4000001,0,249382,0.4987577889447236,4.9828193000284955
4,250,1.5,0.4,0.0,2,4000002,0,249382,0.4987577889447236,5.177777500008233
4,250,1.5,0.4,0.2,0,4020000,50,250168,0.5002452261306533,5.028479499975219
4,250,1.5,0.4,0.2,1,4020001,50,251408,0.502713567839196,5.18830119993072
4,250,1.5,0.4,0.2,2,4020002,50,250502,0.5008984924623116,4.8812590999295935
4,250,1.5,0.4,0.4,0,4040000,100,251534,0.5029065326633165,4.990800099913031
4,250,1.5,0.4,0.4,1,4040001,100,253710,0.5072321608040201,4.8760950999567285
4,250,1.5,0.4,0.4,2,4040002,100,252199,0.5042291457286432,4.909442399977706
4,250,1.5,0.4,0.6000000000000001,0,4060000,150,251248,0.5022572864321608,4.870858100010082
4,250,1.5,0.4,0.6000000000000001,1,4060001,150,259409,0.5185949748743719,4.902578799985349
4,250,1.5,0.4,0.6000000000000001,2,4060002,150,250744,0.5012361809045226,4.854736400069669
4,250,1.5,0.4,0.8,0,4080000,200,257759,0.5152844221105528,4.819549400010146
4,250,1.5,0.4,0.8,1,4080001,200,258007,0.5157366834170855,4.689930900000036
4,250,1.5,0.4,0.8,2,4080002,200,253523,0.5067417085427136,4.5300024000462145
4,250,1.5,0.4,1.0,0,4100000,250,392926,0.7868522613065326,4.660219799960032
4,250,1.5,0.4,1.0,1,4100001,250,413295,0.8277748743718593,3.119640899938531
4,250,1.5,0.4,1.0,2,4100002,250,382143,0.7651638190954774,2.5674045000923797
